,Show Title,Show Year,Genres,IMBD Rating,Runtime/Duration,Age Rating,Production Countries,Streaming Service,Show URLs
0,Shōgun,(2024),"War & Military, Drama, History",8.8  (119k),59min,,United States,Hotstar,https://www.justwatch.com/in/tv-show/shogun-2024
1,Heeramandi: The Diamond Bazaar,(2024),"Drama, History, Romance",6.6  (23k),55min,,India,Netflix,https://www.justwatch.com/in/tv-show/heeramandi
2,Fallout,(2024),"Drama, Science-Fiction, War & Military, Action & Adventure, Mystery & Thriller",8.5  (163k),59min,A,United States,Amazon Prime Video,https://www.justwatch.com/in/tv-show/fallout
3,Panchayat,(2020),"Comedy, Drama",8.9  (85k),33min,,India,Amazon Prime Video,https://www.justwatch.com/in/tv-show/panchayat
4,Mirzapur,(2018),"Crime, Action & Adventure, Drama, Mystery & Thriller",8.5  (81k),50min,,India,Amazon Prime Video,https://www.justwatch.com/in/tv-show/mirzapur
5,Game of Thrones,(2011),"Action & Adventure, Drama, Fantasy, Science-Fiction",8.5  (81k),58min,A,"United States, United Kingdom",Jio Cinema,https://www.justwatch.com/in/tv-show/game-of-thrones
6,3 Body Problem,(2024),"Science-Fiction, Mystery & Thriller, Drama, Fantasy",7.6  (108k),56min,A,United States,Netflix,https://www.justwatch.com/in/tv-show/3-body-problem
7,Dead Boy Detectives,(2024),"Comedy, Crime, Drama, Fantasy, Horror, Action & Adventure, Mystery & Thriller, Science-Fiction",7.6  (9k),54min,A,United States,Netflix,https://www.justwatch.com/in/tv-show/dead-boy-detectives
8,Baby Reindeer,(2024),"Drama, Comedy",7.9  (82k),34min,,United Kingdom,Netflix,https://www.justwatch.com/in/tv-show/baby-reindeer
9,Apharan,(2018),"Drama, Mystery & Thriller, Action & Adventure, Crime",8.3  (19k),24min,,India,Alt Balaji,https://www.justwatch.com/in/tv-show/apharan
10,Young Sheldon,(2017),"Kids & Family, Comedy",7.6  (104k),19min,U,United States,Netflix,https://www.justwatch.com/in/tv-show/young-sheldon
11,Attack on Titan,(2013),"Animation, Action & Adventure, Drama, Fantasy, Horror, Science-Fiction",9.0  (325k),25min,UA,UA,Amazon Prime Video,https://www.justwatch.com/in/tv-show/attack-on-titan
12,The Walking Dead,(2010),"Action & Adventure, Drama, Science-Fiction, Mystery & Thriller, Horror",9.0  (325k),46min,U,United States,Amazon Prime Video,https://www.justwatch.com/in/tv-show/the-walking-dead
13,Inspector Rishi,(2024),"Horror, Mystery & Thriller, Action & Adventure, Drama",7.2  (1k),45min,A,India,Amazon Prime Video,https://www.justwatch.com/in/tv-show/inspector-rishi
14,Sunflower,(2021),"Comedy, Crime",7.4  (23k),38min,A,India,VI movies and tv,https://www.justwatch.com/in/tv-show/sunflower-2021
15,Aashram,(2020),"Crime, Drama, Mystery & Thriller",7.4  (32k),43min,,India,MX Player,https://www.justwatch.com/in/tv-show/aashram
16,The Great Indian Kapil Show,(2024),Comedy,6.8  (24k),52min,,India,Netflix,https://www.justwatch.com/in/tv-show/untitled-kapil-sharma-netflix-project
17,Lucifer,(2016),"Crime, Science-Fiction, Drama, Fantasy",8.1  (356k),47min,U,United States,Netflix,https://www.justwatch.com/in/tv-show/lucifer
18,Farzi,(2023),"Crime, Drama, Mystery & Thriller",8.4  (45k),56min,,India,Amazon Prime Video,https://www.justwatch.com/in/tv-show/farzi
19,A Gentleman in Moscow,(2024),"Drama, History, Mystery & Thriller",6.9  (3k),48min,,United Kingdom,Amazon Prime Video,https://www.justwatch.com/in/tv-show/a-gentleman-in-moscow
20,Mastram,(2020),"Drama, Fantasy, Comedy",7.1  (2k),28min,,India,Amazon Prime Video,https://www.justwatch.com/in/tv-show/mastram
21,Solo Leveling,(2024),"Action & Adventure, Fantasy, Animation, Science-Fiction",8.3  (21k),24min,,"South Korea, Japan",Crunchyroll,https://www.justwatch.com/in/tv-show/solo-leveling-2024
22,Ripley,(2024),"Mystery & Thriller, Crime, Drama",8.2  (31k),56min,,United States,Netflix,https://www.justwatch.com/in/tv-show/ripley
23,Queen of Tears,(2024),"Comedy, Drama, Kids & Family",8.2  (31k),1h 29min,,South Korea,Netflix,https://www.justwatch.com/in/tv-show/queen-of-tears
24,The Gentlemen,(2024),"Crime, Action & Adventure, Comedy, Drama",8.1  (102k),50min,A,"United States, United Kingdom",Netflix,https://www.justwatch.com/in/tv-show/the-gentlemen
25,Dil Dosti Dilemma,(2024),"Drama, Comedy",8.1  (102k),40min,,India,Amazon Prime Video,https://www.justwatch.com/in/tv-show/dil-dosti-dilemma
26,Ranneeti: Balakot & Beyond,(2024),Action & Adventure,7.9  (11k),40min,,India,Jio Cinema,https://www.justwatch.com/in/tv-show/ranneeti-balakot-and-beyond
27,We Were the Lucky Ones,(2024),Drama,7.3  (2k),56min,,United States,Hotstar,https://www.justwatch.com/in/tv-show/we-were-the-lucky-ones
28,Broken But Beautiful,(2018),"Drama, Romance",8.6  (17k),26min,,India,VI movies and tv,https://www.justwatch.com/in/tv-show/broken-but-beautiful
29,Gandii Baat,(2018),"Crime, Drama, Mystery & Thriller",3.4  (2k),44min,A,India,Alt Balaji,https://www.justwatch.com/in/tv-show/gandii-baat
30,The Family Man,(2019),"Comedy, Drama, Action & Adventure",8.7  (98k),45min,,India,Amazon Prime Video,https://www.justwatch.com/in/tv-show/the-family-man
31,"Thank You, Next",(2024),"Romance, Comedy, Drama",5.8  (1k),44min,,Turkey,Netflix,https://www.justwatch.com/in/tv-show/thank-you-next
32,Jujutsu Kaisen,(2020),"Animation, Action & Adventure, Fantasy, Mystery & Thriller, Science-Fiction",8.6  (116k),23min,,"Japan, United States",Crunchyroll,https://www.justwatch.com/in/tv-show/jujutsu-kaisen
33,The Rookie,(2018),"Crime, Drama, Comedy, Action & Adventure",8.0  (73k),43min,,United States,Crunchyroll,https://www.justwatch.com/in/tv-show/the-rookie
34,Maamla Legal Hai,(2024),"Drama, Comedy",8.1  (7k),32min,,India,Netflix,https://www.justwatch.com/in/tv-show/maamla-legal-hai
35,Asur: Welcome to Your Dark Side,(2020),"Crime, Drama, Mystery & Thriller",8.5  (65k),47min,,India,Jio Cinema,https://www.justwatch.com/in/tv-show/asur
36,Monk,(2002),"Crime, Drama, Mystery & Thriller, Comedy",8.1  (89k),44min,U,United States,Netflix,https://www.justwatch.com/in/tv-show/monk
37,Dark Matter,(2024),"Drama, Science-Fiction, Mystery & Thriller",7.4  (2k),53min,A,United States,Apple TV Plus,https://www.justwatch.com/in/tv-show/dark-matter-2024
38,Reacher,(2022),"Mystery & Thriller, Action & Adventure, Crime, Drama",8.1  (213k),48min,A,United States,Amazon Prime Video,https://www.justwatch.com/in/tv-show/jack-reacher
39,Goodbye Earth,(2024),"Drama, Science-Fiction, Mystery & Thriller",4.3  (1k),59min,,South Korea,Netflix,https://www.justwatch.com/in/tv-show/goodbye-earth
40,True Detective,(2014),"Drama, Mystery & Thriller, Crime",8.9  (658k),1h 1min,U,United States,Jio Cinema,https://www.justwatch.com/in/tv-show/true-detective
41,Modern Family,(2009),"Comedy, Drama, Romance",8.5  (484k),21min,,United States,Hotstar,https://www.justwatch.com/in/tv-show/modern-family
42,Murder in Mahim,(2024),,7.6  (4k),42min,,India,Jio Cinema,https://www.justwatch.com/in/tv-show/murder-in-mahim
43,The Last of Us,(2023),"Drama, Science-Fiction, Mystery & Thriller, Action & Adventure, Horror",8.7  (528k),58min,A,United States,Jio Cinema,https://www.justwatch.com/in/tv-show/the-last-of-us
44,Euphoria,(2019),Drama,8.3  (243k),58min,A,United States,Jio Cinema,https://www.justwatch.com/in/tv-show/euphoria
45,Dehati Ladke,(2023),Drama,8.3  (243k),24min,,India,Amazon miniTV,https://www.justwatch.com/in/tv-show/dehati-ladke
46,Maharani,(2021),Drama,7.9  (9k),44min,UA,India,VI movies and tv,https://www.justwatch.com/in/tv-show/maharani-2021
47,House of the Dragon,(2022),"Science-Fiction, Drama, Action & Adventure, Fantasy, Romance",8.4  (378k),1h 2min,A,United States,Jio Cinema,https://www.justwatch.com/in/tv-show/house-of-the-dragon
48,Stranger Things,(2016),"Drama, Science-Fiction, Mystery & Thriller, Horror, Fantasy",8.4  (378k),1h 1min,,United States,Netflix,https://www.justwatch.com/in/tv-show/stranger-things
49,House,(2004),"Drama, Mystery & Thriller",8.7  (515k),44min,U,United States,Jio Cinema,https://www.justwatch.com/in/tv-show/house
50,Money Heist,(2017),"Mystery & Thriller, Action & Adventure, Crime, Drama, Made in Europe",8.2  (533k),50min,,Spain,Netflix,https://www.justwatch.com/in/tv-show/paperhouse
51,The Good Doctor,(2017),Drama,8.0  (113k),43min,U,United States,Sony Liv,https://www.justwatch.com/in/tv-show/the-good-doctor
52,Naruto Shippūden,(2007),"Animation, Action & Adventure, Science-Fiction, Drama, Fantasy, Comedy",8.7  (169k),24min,U,Japan,Crunchyroll,https://www.justwatch.com/in/tv-show/naruto-shippuden
53,Peaky Blinders,(2013),"Crime, Drama",8.8  (651k),58min,A,United Kingdom,Netflix,https://www.justwatch.com/in/tv-show/peaky-blinders
54,Brigands: The Quest for Gold,(2024),"History, Action & Adventure, Drama",8.8  (651k),51min,,Italy,Netflix,https://www.justwatch.com/in/tv-show/brigands-the-quest-for-gold
55,Demon Slayer: Kimetsu no Yaiba,(2019),"Action & Adventure, Fantasy, Mystery & Thriller, Animation, Science-Fiction",8.7  (80k),26min,,Japan,Crunchyroll,https://www.justwatch.com/in/tv-show/demon-slayer-kimetsu-no-yaiba
56,Naruto,(2002),"Animation, Action & Adventure, Science-Fiction, Comedy, Fantasy",8.4  (127k),23min,,Japan,Amazon Prime Video,https://www.justwatch.com/in/tv-show/naruto
57,Damaged,(2018),"Drama, Crime, Horror, Mystery & Thriller",8.4  (127k),20min,,India,VI movies and tv,https://www.justwatch.com/in/tv-show/damaged
58,Dark Desire,(2020),"Mystery & Thriller, Drama",6.5  (9k),34min,,Mexico,Netflix,https://www.justwatch.com/in/tv-show/dark-desire
59,The Flash,(2014),"Science-Fiction, Action & Adventure, Drama",7.5  (368k),42min,,United States,Netflix,https://www.justwatch.com/in/tv-show/the-flash
60,Invincible,(2021),"Science-Fiction, Action & Adventure, Drama, Animation, Fantasy, Mystery & Thriller",8.7  (206k),48min,,United States,Amazon Prime Video,https://www.justwatch.com/in/tv-show/invincible
61,MTV Splitsvilla,(2008),"Reality TV, Drama, Romance",8.7  (206k),43min,U,U,Jio Cinema,https://www.justwatch.com/in/tv-show/mtv-splitsvilla
62,Breaking Bad,(2008),"Drama, Crime, Mystery & Thriller",8.7  (206k),47min,U,United States,Netflix,https://www.justwatch.com/in/tv-show/breaking-bad
63,How I Met Your Mother,(2005),"Comedy, Drama, Romance",8.3  (729k),24min,U,United States,Hotstar,https://www.justwatch.com/in/tv-show/how-i-met-your-mother
64,Scam 1992,(2020),"Mystery & Thriller, Crime, Drama",9.3  (150k),52min,,India,Sony Liv,https://www.justwatch.com/in/tv-show/scam-1992
65,Yellowstone,(2018),"Drama, Western",8.7  (222k),50min,,United States,Netflix,https://www.justwatch.com/in/tv-show/yellowstone
66,Montu Pilot,(2019),"Drama, Romance",8.7  (222k),21min,,India,Amazon Prime Video,https://www.justwatch.com/in/tv-show/montu-pilot
67,Lootere,(2024),"Action & Adventure, Crime",8.7  (222k),45min,,India,Hotstar,https://www.justwatch.com/in/tv-show/lootere
68,One-Punch Man,(2015),"Action & Adventure, Animation, Comedy, Kids & Family, Fantasy, Science-Fiction",8.7  (186k),24min,,Japan,Netflix,https://www.justwatch.com/in/tv-show/one-punch-man
69,Grey's Anatomy,(2005),"Drama, Romance",7.6  (342k),48min,U,United States,Hotstar,https://www.justwatch.com/in/tv-show/greys-anatomy
70,Undekhi,(2020),"Drama, Crime",7.6  (342k),34min,,India,Sony Liv,https://www.justwatch.com/in/tv-show/undekhi
71,Dr. Arora,(2022),"Comedy, Drama",7.1  (1k),37min,A,India,Sony Liv,https://www.justwatch.com/in/tv-show/dr-arora
72,Gullak,(2019),"Comedy, Drama, Kids & Family",9.1  (21k),29min,,India,Sony Liv,https://www.justwatch.com/in/tv-show/gullak
73,DEATH NOTE,(2006),"Science-Fiction, Animation, Crime, Drama, Fantasy, Mystery & Thriller",8.9  (379k),24min,,Japan,Netflix,https://www.justwatch.com/in/tv-show/death-note
74,Them,(2021),"Drama, Horror, Mystery & Thriller",7.5  (26k),41min,,United States,Amazon Prime Video,https://www.justwatch.com/in/tv-show/them
75,Loki,(2021),"Action & Adventure, Fantasy, Science-Fiction, Drama",8.2  (412k),49min,,United States,Hotstar,https://www.justwatch.com/in/tv-show/loki
76,Playground,(2022),"Reality TV, Sport",8.2  (412k),48min,,India,Amazon miniTV,https://www.justwatch.com/in/tv-show/playground
77,The Atypical Family,(2024),"Science-Fiction, Drama, Action & Adventure, Fantasy, Romance",8.2  (412k),1h 13min,,South Korea,Netflix,https://www.justwatch.com/in/tv-show/the-atypical-family
78,The Boys,(2019),"Science-Fiction, Action & Adventure, Comedy, Crime, Drama",8.7  (655k),1h 0min,A,United States,Amazon Prime Video,https://www.justwatch.com/in/tv-show/the-boys
79,Maigret,(2016),"Drama, Mystery & Thriller, Crime",7.8  (2k),1h 28min,U,U,Amazon Prime Video,https://www.justwatch.com/in/tv-show/maigret
80,Sugar,(2024),"Drama, Mystery & Thriller, Crime",7.8  (9k),36min,,United States,Apple TV Plus,https://www.justwatch.com/in/tv-show/sugar
81,Taaza Khabar,(2023),"Science-Fiction, Drama, Action & Adventure, Comedy, Fantasy, Mystery & Thriller",8.1  (48k),29min,,India,Hotstar,https://www.justwatch.com/in/tv-show/taaza-khabar
82,The Railway Men - The Untold Story of Bhopal 1984,(2023),"Drama, History, Mystery & Thriller",8.5  (22k),59min,,India,Netflix,https://www.justwatch.com/in/tv-show/the-railway-men-the-untold-story-of-bhopal-1984
83,Better Call Saul,(2015),"Crime, Drama",9.0  (650k),50min,A,United States,Netflix,https://www.justwatch.com/in/tv-show/better-call-saul
84,Maxton Hall: The World Between Us,(2024),"Drama, Romance",7.7  (2k),47min,,Germany,Amazon Prime Video,https://www.justwatch.com/in/tv-show/maxton-hall-the-world-between-us
85,Bodkin,(2024),"Drama, Mystery & Thriller, Comedy",7.0  (2k),50min,A,United States,Netflix,https://www.justwatch.com/in/tv-show/bodkin
86,X-Men '97,(2024),"Animation, Action & Adventure, Science-Fiction, Fantasy",9.0  (17k),33min,,United States,Hotstar,https://www.justwatch.com/in/tv-show/x-men-97
87,Under the Dome,(2013),"Drama, Mystery & Thriller, Science-Fiction",6.5  (112k),43min,,United States,Amazon Prime Video,https://www.justwatch.com/in/tv-show/under-the-dome
88,9-1-1,(2018),"Drama, Crime, Action & Adventure, Mystery & Thriller",7.9  (46k),43min,,United States,Hotstar,https://www.justwatch.com/in/tv-show/9-1-1
89,Doctor Who,(2005),"Science-Fiction, Action & Adventure, Drama",8.6  (247k),1h 4min,,United Kingdom,Amazon Prime Video,https://www.justwatch.com/in/tv-show/doctor-who
90,Paatal Lok,(2020),"Drama, Crime, Mystery & Thriller",8.1  (64k),43min,A,India,Amazon Prime Video,https://www.justwatch.com/in/tv-show/paatal-lok
91,College Romance,(2018),"Drama, Comedy, Romance",8.3  (28k),31min,A,India,Sony Liv,https://www.justwatch.com/in/tv-show/college-romance
92,The Vampire Diaries,(2009),"Science-Fiction, Fantasy, Horror, Romance, Mystery & Thriller, Drama",7.7  (350k),42min,U,United States,Amazon Prime Video,https://www.justwatch.com/in/tv-show/the-vampire-diaries
93,Paurashpur,(2020),Drama,3.7  (18k),25min,A,India,Alt Balaji,https://www.justwatch.com/in/tv-show/paurashpur
94,Spartacus,(2010),"Drama, Romance, Action & Adventure",8.5  (257k),54min,,United States,Lionsgate Play Amazon Channel,https://www.justwatch.com/in/tv-show/spartacus
95,Halo,(2022),"Science-Fiction, Action & Adventure, Mystery & Thriller, War & Military",7.3  (94k),52min,,United States,Lionsgate Play Amazon Channel,https://www.justwatch.com/in/tv-show/halo
96,The Freelancer,(2023),"Action & Adventure, Mystery & Thriller, Drama",8.1  (6k),50min,,India,Hotstar,https://www.justwatch.com/in/tv-show/the-freelancer
97,Adrishyam – The Invisible Heroes,(2024),"Drama, Crime, Mystery & Thriller",8.1  (6k),48min,A,India,Sony Liv,https://www.justwatch.com/in/tv-show/adrishyam-the-invisible-heroes
98,Wednesday,(2022),"Science-Fiction, Mystery & Thriller, Comedy, Crime, Fantasy, Horror, Kids & Family",8.1  (363k),49min,,United States,Netflix,https://www.justwatch.com/in/tv-show/wednesday
99,Kaiju No. 8,(2024),"Animation, Action & Adventure, Fantasy, Horror, Science-Fiction",8.3  (1k),23min,,Japan,Crunchyroll,https://www.justwatch.com/in/tv-show/kaiju-no-8
